web-scraper-order ,web-scraper-start-url                          ,constituent_link                     ,constituent_link-href                                               ,Formerly                                                                                                                                                                                                                                                                                                      ,Company type                   ,Company type-href                                      ,Traded as                                                                                                                                                                                                                                                                                                                               ,ISIN                                                                            ,Industry                ,Founded                                                                                                                                                                                                                                                                                                                                                                                                    ,Founder                                                           ,Headquarters                                                                             ,Key people                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Services                                                                                                                                                                                                                                                                                                                                                                                              ,Operating income               ,Net income                     ,AUM                           ,Number of employees      ,Website
"1727695362-30"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Prudential plc"                     ,"https://en.wikipedia.org/wiki/Prudential_plc"                      ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_company"         ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Insurance"             ,"1848; 176 years ago (1848), in London"                                                                                                                                                                                                                                                                                                                                                                    ,""                                                                ,"London, England, UK
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Hong Kong, China"                                                                        ,"[{""Key people"":""Shriti Vadera""},{""Key people"":""(chair)""},{""Key people"":""Anil Wadhwani""},{""Key people"":""(CEO)""}]"                                                                                                                                                                                                                                                                                                                                                                                                 ,"[{""Services"":""Insurance""},{""Services"":""General insurance""},{""Services"":""Health insurance""},{""Services"":""Vehicle insurance""},{""Services"":""Travel insurance""},{""Services"":""Home insurance""},{""Services"":""Life insurance""},{""Services"":""Mortgage loans""},{""Services"":""Investment management""},{""Services"":""Asset management""},{""Services"":""Mutual funds""}]" ,"$2.097 billion (2023)[2]"     ,"$1.712 billion (2023)[2]"     ,""                            ,"15,000 (2023)[3]"       ,"prudentialplc.com"
"1727695364-31"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Phoenix Group"                      ,"https://en.wikipedia.org/wiki/Phoenix_Group"                       ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_company"         ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Insurance"             ,"1857"                                                                                                                                                                                                                                                                                                                                                                                                     ,""                                                                ,"London, England, UK"                                                                    ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£278 million (2023)[1]"       ,"£(88) million (2023)[1]"      ,""                            ,"8,165 (2022)[1]"        ,"www.thephoenixgroup.com"
"1727695366-32"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Persimmon"                          ,"https://en.wikipedia.org/wiki/Persimmon_plc"                       ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Housebuilding"         ,"1972; 52 years ago (1972)"                                                                                                                                                                                                                                                                                                                                                                                ,""                                                                ,"York, England, UK"                                                                      ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£346.9 million (2023)[3]"     ,"£255.4 million (2023)[3]"     ,""                            ,"6,000 (2023)[4]"        ,"www.persimmonhomes.com"
"1727695368-33"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Pershing Square Holdings"           ,"https://en.wikipedia.org/wiki/Pershing_Square_Holdings"            ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_company"         ,"[]"                                                                                                                                                                                                                                                                                                                                    ,"expanding it"                                                                  ,""                      ,"2 February 2012"                                                                                                                                                                                                                                                                                                                                                                                          ,""                                                                ,"Saint Peter Port, Guernsey"                                                             ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,""                             ,""                             ,""                            ,""                       ,"www.pershingsquareholdings.com"
"1727695370-34"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Pearson plc"                        ,"https://en.wikipedia.org/wiki/Pearson_plc"                         ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Mass media"            ,"1844; 180 years ago (1844)"                                                                                                                                                                                                                                                                                                                                                                               ,"Samuel Pearson"                                                  ,"Shell Mex House, London, England"                                                       ,"[{""Key people"":""Omid Kordestani (chairman)""},{""Key people"":""Omar Abbosh (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"[{""Services"":""Education""},{""Services"":""Mass media""},{""Services"":""Educational assessment""},{""Services"":""school management""},{""Services"":""higher education""}]"                                                                                                                                                                                                                     ,"£498 million (2023)[1]"       ,"£380 million (2023)[1]"       ,""                            ,"17,612 (2023)[1]"       ,"plc.pearson.com"
"1727695372-35"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Next plc"                           ,"https://en.wikipedia.org/wiki/Next_plc"                            ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Retail"                ,"1864; 160 years ago (1864)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Leeds"                                                                                                                                                                                                                                                                                                                                                                                                     ,"Joseph Hepworth"                                                 ,"Enderby, England, UK"                                                                   ,"[{""Key people"":""Michael Roney (chair­person)""},{""Key people"":""Simon Wolfson (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£941.5 million (2023)[2]"     ,"£710.7 million (2023)[2]"     ,""                            ,"46,710 (2023)[2]"       ,"www.next.co.uk"
"1727695374-36"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"NatWest Group"                      ,"https://en.wikipedia.org/wiki/NatWest_Group"                       ,"[{""Formerly"":""The Royal Bank of Scotland Group Public Limited Company (1968–2020)[1]""}]"                                                                                                                                                                                                                 ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Financial services"    ,"25 March 1968; 56 years ago (1968-03-25)"                                                                                                                                                                                                                                                                                                                                                                 ,""                                                                ,"Edinburgh, Scotland, UK"                                                                ,"[{""Key people"":""Richard Haythornthwaite (Chairman)""},{""Key people"":""Paul Thwaite (Group Chief Executive)""}]"                                                                                                                                                                                                                                                                                                                                                                                                             ,"[{""Services"":""Banking""},{""Services"":""Financial services""}]"                                                                                                                                                                                                                                                                                                                                  ,"£6.178 billion (2023)[2]"     ,"£4.632 billion (2023)[2]"     ,""                            ,"61,500 (2023)[2]"       ,"natwestgroup.com"
"1727695376-37"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"National Grid plc"                  ,"https://en.wikipedia.org/wiki/National_Grid_plc"                   ,"[{""Formerly"":""New National Grid plc (2000–2002)""},{""Formerly"":""National Grid Group plc (January–October 2002)""},{""Formerly"":""National Grid Transco plc (2002–2005)[1]""}]"                                                                                                                        ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[{""Traded as"":""LSE: NG.""},{""Traded as"":""NYSE: NGG""},{""Traded as"":""FTSE 100 component (NG.)""}]"                                                                                                                                                                                                                             ,"[update]"                                                                      ,"Utilities"             ,"1990; 34 years ago (1990) in London"                                                                                                                                                                                                                                                                                                                                                                      ,""                                                                ,"London, England, UK[2]"                                                                 ,"[{""Key people"":""Paula Rosput Reynolds (Chair)""},{""Key people"":""John Pettigrew (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£4.294 billion (2023)[3]"     ,"£7.797 billion (2023)[3]"     ,""                            ,"31,275 (2023)[3]"       ,"nationalgrid.com"
"1727695379-38"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Mondi"                              ,"https://en.wikipedia.org/wiki/Mondi"                               ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[{""Traded as"":""Packaging""},{""Traded as"":""Paper""}]"                                                                                                                                                                                                                                                                             ,""                                                                              ,""                      ,"1967; 57 years ago (1967)"                                                                                                                                                                                                                                                                                                                                                                                ,""                                                                ,"Weybridge, England, UK"                                                                 ,"[{""Key people"":""Philip Yea (chair­person)""},{""Key people"":""Andrew R. King (CEO)""}]"                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"[{""Services"":""Packaging""},{""Services"":""Paper""}]"                                                                                                                                                                                                                                                                                                                                             ,"€790 million (2023)[1]"       ,"€(134) million (2023)[1]"     ,""                            ,"22,000 (2024)[2]"       ,"www.mondigroup.com"
"1727695381-39"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Melrose Industries"                 ,"https://en.wikipedia.org/wiki/Melrose_Industries"                  ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Aerospace"             ,"2003"                                                                                                                                                                                                                                                                                                                                                                                                     ,"Christopher MillerDavid RoperSimon Peckham"                      ,"Birmingham, England, UK"                                                                ,"[{""Key people"":""Christopher Miller""},{""Key people"":""David Roper""},{""Key people"":""Simon Peckham""},{""Key people"":""Justin Dowley (chair­person)""},{""Key people"":""Peter Dilnot (CEO)""}]"                                                                                                                                                                                                                                                                                                                         ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£57 million (2023)[2]"        ,"£(1,019) million (2023)[2]"   ,""                            ,"16,000 (2024)[3]"       ,"melroseplc.net"
"1727695383-40"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"Marks & Spencer"                    ,"https://en.wikipedia.org/wiki/Marks_%26_Spencer"                   ,"[]"                                                                                                                                                                                                                                                                                                          ,"Public limited company"       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,""                                                                              ,"Retail"                ,"1884; 140 years ago (1884)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Leeds, West Riding of Yorkshire, England"                                                                                                                                                                                                                                                                                                                                                                  ,"Michael MarksThomas Spencer"                                     ,"London"                                                                                 ,"[{""Key people"":""Michael Marks""},{""Key people"":""Thomas Spencer""},{""Key people"":""Archie Norman (Chairman)""},{""Key people"":""Stuart Machin (Chief Executive)""},{""Key people"":""Katie Bickerstaffe (Co-Chief Executive)""}]"                                                                                                                                                                                                                                                                                        ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£515.1 million (2023)[1]"     ,"£364.5 million (2023)[1]"     ,""                            ,"72,316 (2023)[1]"       ,"marksandspencer.com"
"1727695385-41"   ,"https://en.wikipedia.org/wiki/FTSE_100_Index" ,"M&G"                                ,"https://en.wikipedia.org/wiki/M%26G"                               ,"[{""Formerly"":""M&G Prudential Limited (2018–2019)""},{""Formerly"":""M&G Prudential plc (July–September 2019)[1][2]""}]"                                                                                                                                                                                   ,"Public"                       ,"https://en.wikipedia.org/wiki/Public_limited_company" ,"[]"                                                                                                                                                                                                                                                                                                                                    ,"GB00BKFB1C65"                                                                  ,"Financial services"    ,"1931; 93 years ago (1931) (demerged 2019)"                                                                                                                                                                                                                                                                                                                                                                ,""                                                                ,"London, England, UK"                                                                    ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"[]"                                                                                                                                                                                                                                                                                                                                                                                                  ,"£749 million (2023)[3]"       ,"£309 million (2023)[3]"       ,"£343.5 billion (2023)[3]"    ,"c.5,000 (2023)[4]"      ,"mandgplc.com"
